iter	Passed	Remaining
0	1285	641686
1	2471	615410
2	3689	611177
3	4888	606224
4	6073	601252
5	7268	598411
6	8439	594405
7	9607	590880
8	10785	588416
9	11952	585655
10	13133	583841
11	14338	583114
12	15517	581315
13	16711	580135
14	17919	579396
15	19121	578436
16	20295	576638
17	21479	575177
18	22673	573991
19	23890	573381
20	25070	571838
21	26253	570410
22	27456	569428
23	28658	568385
24	29876	567645
25	31099	566959
26	32296	565783
27	33499	564709
28	34725	563982
29	35934	562975
30	37143	561952
31	38355	560953
32	39539	559550
33	40739	558364
34	41955	557410
35	43158	556261
36	44346	554925
37	45542	553701
38	46748	552587
39	47943	551354
40	49129	550013
41	50336	548909
42	51537	547731
43	52735	546530
44	53931	545311
45	55120	544019
46	56328	542912
47	57532	541765
48	58751	540752
49	59946	539520
50	61145	538319
51	62333	537029
52	63535	535855
53	64727	534600
54	65911	533285
55	67126	532213
56	68319	530973
57	69529	529866
58	70713	528554
59	71899	527260
60	73103	526108
61	74311	524971
62	75493	523657
63	76700	522519
64	77924	521496
65	79113	520232
66	80328	519141
67	81535	517993
68	82748	516879
69	83969	515810
70	85169	514617
71	86356	513342
72	87554	512132
73	88766	511005
74	89993	509960
75	91207	508839
76	92440	507821
77	93653	506690
78	94849	505464
79	96062	504326
80	97249	503054
81	98455	501883
82	99679	500797
83	100857	499482
84	102088	498433
85	103323	497396
86	104544	496285
87	105768	495188
88	106982	494041
89	108197	492898
90	109409	491742
91	110621	490580
92	111832	489415
93	113067	488356
94	114262	487117
95	115455	485874
96	116679	484761
97	117888	483581
98	119101	482423
99	120316	481267
100	121526	480090
101	122709	478807
102	123927	477662
103	125123	476430
104	126309	475162
105	127514	473967
106	128754	472902
107	129974	471761
108	131163	470504
109	132355	469262
110	133538	467985
111	134733	466755
112	135928	465524
113	137112	464257
114	138294	462984
115	139468	461689
116	140668	460477
117	141865	459260
118	143082	458103
119	144254	456807
120	145441	455554
121	146631	454317
122	147802	453021
123	149015	451853
124	150227	450683
125	151447	449533
126	152673	448403
127	153903	447281
128	155120	446120
129	156342	444976
130	157558	443811
131	158790	442687
132	160015	441547
133	161224	440358
134	162447	439211
135	163669	438056
136	164877	436864
137	166060	435607
138	167222	434297
139	168438	433127
140	169611	431846
141	170814	430645
142	172054	429534
143	173276	428376
144	174499	427221
145	175717	426055
146	177047	425153
147	178306	424079
148	179543	422951
149	180767	421790
150	181973	420587
151	183186	419400
152	184416	418250
153	185652	417114
154	186887	415975
155	188125	414840
156	189320	413611
157	190544	412444
158	191761	411262
159	192996	410118
160	194235	408981
161	195465	407823
162	196678	406629
163	197901	405456
164	199183	404402
165	200402	403220
166	201654	402102
167	202909	400988
168	204129	399804
169	205386	398691
170	206582	397459
171	207784	396239
172	209011	395067
173	210209	393840
174	211409	392617
175	212639	391450
176	213879	390299
177	215163	389227
178	216344	387969
179	217589	386826
180	218811	385640
181	220032	384452
182	221278	383306
183	222476	382079
184	223648	380807
185	224841	379571
186	226044	378353
187	227229	377104
188	228408	375847
189	229621	374645
190	230809	373404
191	231998	372163
192	233191	370931
193	234388	369705
194	235589	368486
195	236780	367250
196	237966	366009
197	239171	364796
198	240388	363602
199	241568	362352
200	242776	361145
201	243992	359948
202	245181	358713
203	246363	357468
204	247566	356254
205	248745	355006
206	249931	353767
207	251124	352540
208	252312	351306
209	253524	350104
210	254742	348912
211	255931	347680
212	257110	346435
213	258295	345198
214	259491	343977
215	260699	342771
216	261908	341567
217	263094	340333
218	264281	339101
219	265513	337925
220	266695	336687
221	267918	335501
222	269141	334315
223	270326	333080
224	271529	331869
225	272744	330672
226	273952	329467
227	275172	328276
228	276399	327092
229	277611	325892
230	278829	324697
231	280025	323477
232	281246	322287
233	282439	321063
234	283674	319887
235	284897	318698
236	286095	317481
237	287270	316239
238	288447	314999
239	289660	313799
240	290892	312618
241	292079	311390
242	293300	310198
243	294498	308981
244	295698	307767
245	296924	306580
246	298144	305386
247	299372	304200
248	300588	303002
249	301794	301794
250	303015	300600
251	304247	299417
252	305448	298205
253	306638	296980
254	307838	295766
255	309016	294531
256	310195	293297
257	311393	292081
258	312619	290893
259	313811	289672
260	315014	288461
261	316212	287246
262	317404	286026
263	318614	284821
264	319824	283618
265	321040	282418
266	322212	281181
267	323442	279995
268	324673	278809
269	325892	277612
270	327105	276409
271	328298	275191
272	329482	273965
273	330681	272752
274	331896	271551
275	333111	270351
276	334351	269171
277	335660	268045
278	336976	266923
279	338250	265768
280	339522	264610
281	340829	263478
282	342120	262332
283	343394	261172
284	344691	260030
285	345969	258872
286	347168	257654
287	348365	256435
288	349605	255248
289	350877	254083
290	352176	252937
291	353456	251777
292	354930	250753
293	356324	249669
294	357593	248496
295	358838	247307
296	360077	246113
297	361366	244953
298	362642	243783
299	363930	242620
300	365216	241455
301	366496	240285
302	367765	239108
303	369117	237983
304	370472	236859
305	371700	235653
306	372929	234447
307	374325	233345
308	375519	232117
309	376753	230913
310	377979	229704
311	379181	228480
312	380379	227255
313	381580	226031
314	382775	224804
315	384001	223595
316	385224	222385
317	386459	221181
318	387660	219957
319	388883	218746
320	390088	217525
321	391276	216295
322	392479	215074
323	393700	213861
324	394898	212637
325	396121	211426
326	397319	210202
327	398559	209000
328	399767	207781
329	400989	206570
330	402220	205363
331	403467	204164
332	404655	202935
333	405869	201719
334	407066	200495
335	408287	199283
336	409475	198054
337	410669	196829
338	411862	195604
339	413052	194377
340	414318	193186
341	415521	191966
342	416723	190745
343	417936	189529
344	419134	188306
345	420335	187085
346	421540	185866
347	422766	184656
348	423998	183449
349	425215	182235
350	426435	181022
351	427659	179811
352	428847	178585
353	430043	177362
354	431239	176140
355	432420	174911
356	433631	173695
357	434813	172468
358	436022	171251
359	437211	170026
360	438419	168809
361	439648	167600
362	440852	166382
363	442044	165159
364	443276	163951
365	444504	162741
366	445700	161520
367	446906	160303
368	448121	159089
369	449323	157870
370	450513	156647
371	451725	155432
372	452935	154216
373	454113	152989
374	455314	151771
375	456518	150553
376	457730	149339
377	458942	148124
378	460150	146908
379	461516	145742
380	462953	144596
381	464436	143464
382	465855	142311
383	467114	141107
384	468399	139911
385	469708	138722
386	470985	137522
387	472334	136344
388	473553	135127
389	474773	133910
390	475959	132684
391	477187	131470
392	478399	130251
393	479618	129034
394	480834	127816
395	482053	126599
396	483270	125382
397	484476	124162
398	485673	122939
399	486867	121716
400	488071	120496
401	489258	119272
402	490469	118053
403	491693	116838
404	492924	115624
405	494163	114412
406	495364	113191
407	496574	111972
408	497787	110754
409	498997	109536
410	500198	108315
411	501418	107099
412	502619	105878
413	503832	104660
414	505033	103440
415	506261	102225
416	507456	101004
417	508667	99786
418	509873	98567
419	511138	97359
420	512647	96197
421	513947	94995
422	515395	93819
423	516634	92604
424	517871	91389
425	519101	90172
426	520315	88953
427	521525	87733
428	522755	86516
429	524000	85302
430	525196	84080
431	526408	82860
432	527609	81639
433	528842	80423
434	530085	79208
435	531301	77989
436	532523	76771
437	533847	75567
438	535211	74368
439	536637	73177
440	538073	71987
441	539434	70785
442	540643	69563
443	541863	68343
444	543072	67121
445	544270	65898
446	545515	64680
447	546732	63460
448	548008	62245
449	549275	61030
450	550559	59816
451	551799	58598
452	553018	57377
453	554242	56156
454	555438	54933
455	556647	53711
456	557870	52491
457	559223	51282
458	560538	50069
459	561855	48857
460	563171	47643
461	564489	46429
462	565822	45216
463	567143	44002
464	568463	42787
465	569782	41572
466	571117	40357
467	572438	39141
468	573774	37925
469	575087	36707
470	576403	35489
471	577727	34271
472	579054	33053
473	580365	31834
474	581697	30615
475	583025	29396
476	584341	28175
477	585649	26954
478	586982	25734
479	588197	24508
480	589398	23281
481	590632	22056
482	591969	20835
483	593265	19612
484	594548	18388
485	595852	17164
486	597098	15938
487	598306	14712
488	599495	13485
489	600710	12259
490	601952	11033
491	603184	9807
492	604378	8581
493	605572	7355
494	606760	6128
495	607976	4903
496	609176	3677
497	610388	2451
498	611601	1225
499	612821	0
